cid|username
LUWTQ52515|ujkdhw351062
NDRQK41419|eujd3072
JURVM60008|r150739268
ZZLCB93267|e92658431
VUTNL52382|xetlm87643
JLLTH04819|d0498135
SSRRU82967|bijantwvx120463
UQYGL28198|x4
RHIIM40955|p8965210
DNVIR62344|v6
PWEBQ82626|dlyn3276941
TDJXZ49841|ruxd5104
LWBMA00437|rc43807165
UARWB83000|ovz086923714
YHBMU94434|wyq358042971
ZIOUP53114|gyhrw0576
KWYOO76458|tn
TPCTH56290|fpxzbad84739
LUUDF61026|yj8921036
FVERG04876|gpkq1386459
PCHIP28782|fe948765
SSPPM84028|tc7
ZFUUE19686|jyf3560
KUFFX69668|postnd4508
JRHSL87172|xcjrsf129587
LRGDP46817|c871094
IKTQN34960|gcbrh132784
KNXEM54024|lpjwtq07491253
IHCHW15031|punidfetr2
ZPFAG18651|cky